station_cd,station_g_cd,station_name,station_name_k,station_name_r,station_name_zh,station_name_ko,primary_station_number,secondary_station_number,extra_station_number,three_letter_code,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
100820,1121107,田沢湖,タザワコ,Tazawako,田泽湖,다자와코,,,,,1008,5,014-1201,秋田県仙北市田沢湖生保内字男坂68,140.722419,39.700272,1923-08-31,0000-00-00,0,100820
100821,1121111,角館,カクノダテ,Kakunodate,角馆,가쿠노다테,,,,,1008,5,014-0368,秋田県仙北市角館町中菅沢14,140.570988,39.591716,1921-07-30,0000-00-00,0,100821
100822,1120220,大曲,オオマガリ,Ōmagari,大曲,오마가리,,,,,1008,5,014-0027,秋田県大仙市大曲通町6-1,140.479732,39.465454,1904-12-21,0000-00-00,0,100822
100823,1120228,秋田,アキタ,Akita,秋田,아키타,,,,,1008,5,010-0001,秋田県秋田市中通七丁目1-2,140.129743,39.716845,1902-10-21,0000-00-00,0,100823
100901,1130101,東京,トウキョウ,Tōkyō,东京,도쿄,,,,TYO,1009,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100901
100902,1130220,上野,ウエノ,Ueno,上野,우에노,,,,UEN,1009,13,110-0005,東京都台東区上野七丁目1-1,139.777254,35.713768,1883-07-28,0000-00-00,0,100902
100903,1131906,大宮,オオミヤ,Ōmiya,大宫,오미야,,,,OMY,1009,11,330-0853,埼玉県さいたま市大宮区錦町630,139.624,35.906206,1885-03-16,0000-00-00,0,100903
100904,1132316,熊谷,クマガヤ,Kumagaya,熊谷,구마가야,,,,,1009,11,360-0037,埼玉県熊谷市筑波二丁目112,139.389942,36.139702,1883-07-28,0000-00-00,0,100904
100905,100505,本庄早稲田,ホンジョウワセダ,Honjōwaseda,本庄早稻田,혼조와세다,,,,,1009,11,367-0031,埼玉県本庄市北堀字山ノ根2070,139.179739,36.218575,2004-03-13,0000-00-00,0,100905
100906,1131816,高崎,タカサキ,Takasaki,高崎,다카사키,,,,,1009,10,370-0849,群馬県高崎市八島町222,139.013057,36.322356,1884-05-01,0000-00-00,0,100906
100907,100907,安中榛名,アンナカハルナ,Annakaharuna,安中榛名,안나카하루나,,,,,1009,10,379-0102,群馬県安中市東上秋間2552-5,138.849589,36.362408,1997-10-01,0000-00-00,0,100907
100908,9940301,軽井沢,カルイザワ,Karuizawa,轻井泽,가루이자와,,,,,1009,20,389-0102,長野県北佐久郡軽井沢町大字軽井沢1178,138.635062,36.34255,0000-00-00,0000-00-00,0,100908
100909,1140125,佐久平,サクダイラ,Sakudaira,佐久平,사쿠다이라,,,,,1009,20,385-0028,長野県佐久市佐久平駅東1-1,138.464339,36.277898,1997-10-01,0000-00-00,0,100909
100910,9940311,上田,ウエダ,Ueda,上田,우에다,,,,,1009,20,386-0025,長野県上田市天神一丁目1887-17,138.249736,36.396498,1888-08-15,0000-00-00,0,100910
100911,1140305,長野,ナガノ,Nagano,长野,나가노,,,,,1009,20,380-0921,長野県長野市大字栗田1038,138.188686,36.643,1888-05-01,0000-00-00,0,100911
100912,1140710,飯山,イイヤマ,Iiyama,饭山,이야마,,,,,1009,20,389-2253,長野県飯山市大字飯山枡ノ浦,138.358596,36.84562,2015-03-14,0000-00-00,0,100912
100913,1140317,上越妙高,ジョウエツミョウコウ,Jōetsumyōkō,上越妙高,조에쓰묘코,,,,,1009,15,943-0861,新潟県上越市大和五丁目,138.2484867,37.08135716,2015-03-14,0000-00-00,0,100913
100914,1140516,糸魚川,イトイガワ,Itoigawa,糸鱼川,이토이가와,,,,,1009,15,941-0061,新潟県糸魚川市大町一丁目7番10号,137.8615099,37.04330468,2015-03-14,0000-00-00,0,100914
100915,100915,黒部宇奈月温泉,クロベウナヅキオンセン,Kurobe-Unazukionsen,黑部宇奈月温泉,구로베우나즈키온센,,,,,1009,16,938-0802,富山県黒部市若栗,137.4801774,36.87316273,2015-03-14,0000-00-00,0,100915
100916,1140501,富山,トヤマ,Toyama,富山,도야마,,,,,1009,16,930-0001,富山県富山市明輪町1-227,137.213141,36.701653,2015-03-14,0000-00-00,0,100916
100917,100917,新高岡,シンタカオカ,Shin-Takaoka,新高冈,신타카오카,,,,,1009,16,933-0852,富山県高岡市下黒田1872番地,137.010459,36.727004,2015-03-14,0000-00-00,0,100917
100918,1141543,金沢,カナザワ,Kanazawa,金泽,가나자와,,,,,1009,17,920-0023,石川県金沢市北安江町,136.648166,36.578117,2015-03-14,0000-00-00,0,100918
101001,1190101,博多,ハカタ,Hakata,博多,하카타,,,,,1010,40,812-0012,福岡県福岡市博多区博多駅中央街1-1,130.420622,33.590002,1889-12-11,0000-00-00,0,101001
